"course_code","field","raw_text","logic_tree"
"METR4202","prerequisite","(ENGG1001 or CSSE1001) and (ELEC3004 or METR3200 or METR4201)","{""op"":""and"",""args"":[{""op"":""or"",""args"":[""ENGG1001"",""CSSE1001""]},{""op"":""or"",""args"":[""ELEC3004"",""METR3200"",""METR4201""]}]}"
"METR6203","prerequisite","METR4201 or METR7200","{""op"":""or"",""args"":[""METR4201"",""METR7200""]}"
"COMP2140","prerequisite","DECO1400 and (CSSE1001 or ENGG1001)","{""op"":""and"",""args"":[""DECO1400"",{""op"":""or"",""args"":[""CSSE1001"",""ENGG1001""]}]}"
"COMP3301","prerequisite","COMP2303 or CSSE2310","{""op"":""or"",""args"":[""COMP2303"",""CSSE2310""]}"
"COMP3702","prerequisite","(CSSE1001 or CSSE7030) or ENGG1001","{""op"":""or"",""args"":[{""op"":""or"",""args"":[""CSSE1001"",""CSSE7030""]},""ENGG1001""]}"
"COMP3702","recommended_prerequisite","(MATH1061 or MATH1081 or MATH7861) and CSSE2002","{""op"":""and"",""args"":[{""op"":""or"",""args"":[""MATH1061"",""MATH1081"",""MATH7861""]},""CSSE2002""]}"
"COMP3710","prerequisite","(MATH1051 or MATH1071) and (CSSE1001 or ENGG1001)","{""op"":""and"",""args"":[{""op"":""or"",""args"":[""MATH1051"",""MATH1071""]},{""op"":""or"",""args"":[""CSSE1001"",""ENGG1001""]}]}"
"COMP3710","recommended_prerequisite","(MATH1052 or MATH1072) and (MATH1061 or MATH1081) and COMP3506","{""op"":""and"",""args"":[{""op"":""or"",""args"":[""MATH1052"",""MATH1072""]},{""op"":""or"",""args"":[""MATH1061"",""MATH1081""]},""COMP3506""]}"
"COMS3200","prerequisite","COMP2303 OR CSSE2310","{""op"":""or"",""args"":[""COMP2303"",""CSSE2310""]}"
"COSC3500","prerequisite","COSC2500 or CSSE2002 or CSSE2010 or CSSE2310 or PHYS3071 or MATH2504","{""op"":""or"",""args"":[""COSC2500"",""CSSE2002"",""CSSE2010"",""CSSE2310"",""PHYS3071"",""MATH2504""]}"
"CSSE3012","prerequisite","((COMP2140 or CSSE2002) and (DECO2500 or DECO2800 or DECO2850)) or CSSE3200","{""op"":""or"",""args"":[{""op"":""and"",""args"":[{""op"":""or"",""args"":[""COMP2140"",""CSSE2002""]},{""op"":""or"",""args"":[""DECO2500"",""DECO2800"",""DECO2850""]}]},""CSSE3200""]}"
"CSSE3100","prerequisite","(MATH1061 or MATH1081) and CSSE2002","{""op"":""and"",""args"":[{""op"":""or"",""args"":[""MATH1061"",""MATH1081""]},""CSSE2002""]}"
"CSSE3200","prerequisite","CSSE2002","""CSSE2002"""
"CYBR3000","prerequisite","CSSE2310 or CSSE7231","{""op"":""or"",""args"":[""CSSE2310"",""CSSE7231""]}"
"DECO2500","prerequisite","DECO1400 or CSSE1001 or ENGG1001","{""op"":""or"",""args"":[""DECO1400"",""CSSE1001"",""ENGG1001""]}"
"DECO3800","prerequisite","DECO2500 and (DECO1800 or DECO2800 or DECO2840 or DECO2850 or CSSE3200)","{""op"":""and"",""args"":[""DECO2500"",{""op"":""or"",""args"":[""DECO1800"",""DECO2800"",""DECO2840"",""DECO2850"",""CSSE3200""]}]}"
"DECO3801","prerequisite","CSSE2002 or COMP2140","{""op"":""or"",""args"":[""CSSE2002"",""COMP2140""]}"
"INFS2200","prerequisite","INFS1200","""INFS1200"""
"METR3100","recommended_prerequisite","ENGG1300","""ENGG1300"""
