"course_code","course_name","course_level","faculty","school","units","duration","class_hours","incompatible","prerequisite","recommended_prerequisite","assessment_methods"
"METR4201","Control Engineering 1","Undergraduate","Engineering, Architecture & Information Technology","Mech & Mine Engineering School","2","One Semester","Lecture 1 Hour/ Week; Tutorial 2 Hours/ Week; Contact 1 Hour/ Week; Exam 2 Hours/ One Off; Practical 2 Hours/ Ad Hoc; The schedule for the Practical will be advised.","METR3200 or METR7200","MECH2210 or ELEC2004",NA,"Laboratory Exercises, Practical Assignments, Mid-semester and End of Semester Examinations."
"CSSE7610","Concurrency: Theory and Practice","Postgraduate Coursework","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Applied Class 1 Hour/ Week; Lecture 2 Hours/ Week","CSSE3610","CSSE2002 or CSSE7023",NA,"Assignments, Examination"
"ENGG7291","Engineering Placement A","Postgraduate Coursework","Engineering, Architecture & Information Technology","Mech & Mine Engineering School","8","One Semester","Placement 3 Hours/ Ad Hoc","CHEE7104 or CHEE7105 or CHEE7106 or CHEE7107 or CHEE7108 or CHEE7109 or ENGG7280 or ENGG7281 or ENGG7282 or ENGG7820 or ENGG7830 or ENGG7290 or ENGG7292 or ENGG7293 or METR7820 or METR7830",NA,NA,"1C (pre-placement workshop and final presentation session), Progress review presentation,"
"ENGG4901","Professional Practice and the Business Environment A","Undergraduate","Engineering, Architecture & Information Technology","Chemical Engineering School, Mech & Mine Engineering School","2","One Semester","Workshop 2 Hours/ Week; Lecture 2 Hours/ Week","ENGG4900 or ENGG4902, ENGG7901, ENGG7902","Students need to have completed 32 units toward the BE(Hons) program.",NA,"Workshop participation (6x), Assignment (Written and Oral sections)"
"ENGG4902","Professional Practice and the Business Environment B","Undergraduate","Engineering, Architecture & Information Technology","Chemical Engineering School, Mech & Mine Engineering School","2","One Semester","Workshop 2 Hours/ Week; Applied Class 2 Hours/ Week","ENGG4900 or ENGG4901, ENGG7901, ENGG7902",NA,NA,"Workshop participation (6x), Assignment (Written and Oral sections)"
"BIOE6901","Medical Device Engineering","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Problem Based Learning 4 Hours/ Week","ELEC7901","BIOE3001",NA,"Mid-semester & Final Examination. Practical. Reports/presentation."
"BIOE7902","Biomedical Signal Processing","Postgraduate Coursework","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Practical 3 Hours/ Week","ELEC7902",NA,"(ELEC4403 or BIOE6403) or (ELEC4601 or BIOE6601), or ELEC4630, or ELEC7403, or ELEC7606","Practical work, Assignments, Examination."
"COMS7305","Advanced Microwave Engineering","Postgraduate Coursework","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 3 Hours/ Week; Applied Class 2 Hours/ Week; Practical 2 Hours/ Week","COMS7302 or COMS7303","ELEC3100 or ELEC7101","COMS4104 OR COMS7104","Assignments and Examination"
"COMS7309","Computational Techniques in Electromagnetics","Postgraduate Coursework","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Practical 1 Hour/ Week",NA,"ELEC3100 or ELEC7101",NA,"Exams, Assignments"
"ENGG7302","Advanced Computational Techniques in Engineering","Postgraduate Coursework","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 3 Hours/ Week; Tutorial 2 Hours/ Week",NA,"(MATH2001 or MATH2901) and MATH2010 and (STAT2201 or STAT2202)",NA,"Class tests, mid-semester exam, assignments, final exam"
